Celé 2x zopakovať:,
1,úzke tricepsové kľuky,4*8,
2,sumó drepy,5*10,
3,kolíska,3*30s,
4,plank,4*25s,
Potom záver:,
angličáky,5*10,
Striedať sumo - normalne drepy s vyskokom ,30,

